	par_id	text	label
0	4341	Between 1920 and 1974, an estimated 150,000 children from poor families were sent to parts of the British Empire by religious orders and charities who said they would lead a better life.	1
1	4136	Reconciliation lunch of the homeless communities in Durban	1
2	10352	The next immediate problem that arose was how to help the unfortunate couple, since none of them had a birth certificate, a marriage certificate, or even an identity card. Samurdhi Dhanapala’s officer lamented explaining how distressing it was for him to have, when he met most of the poor families in the village he did not even have an identification to officially assist them.	1
3	8279	Much more important than the implications for the gods of the economy (is the dollar up or down?) last night's result will also mean many, many vulnerable New Zealanders will have a better life in the next three years at least.	1
4	1164	Strengthen child-sensitive social protection systems, including cash transfer programmes that directly help poor families pay for food, health care, education and other services that protect children from the impact of poverty and improve their chances of breaking the cycle in their own lives.	1
5	7568	Today, homeless women are still looking for the same thing, a place to sleep and be safe.	1
6	6027	As a member of Care of Hope, Barnett provides food for street people served by the foundation on a regular basis. She, however, does not mind having to cook to feed the homeless and needy she said, because this is basically something that is already in her alley.	1
7	9343	"""Lougene has this message to others who may still be hooked on illegal drugs : """"Don't be desperate because there's hope.You can still change.That's why every time I see on television drug users and traffickers who were killed, I tell myself that they should have been given the opportunity to change by taking them to a place like this."""	1
8	1231	A distressing journey The night falls early in this part of Morocco now and a cold winter is coming, leading homeless Africans to risk before conditions get worse, and in the midst of sometimes harsh treatment by the authorities.	1
9	911	Those from poor families were more likely to leave school without qualifications, have babies before age 20, commit crimes, go into well-being and have addiction and other mental health problems in adulthood.	1
10	5431	In the midst of all these alignments and repositioning, the mass of Nigerians has remained poor, unhealthy, uneducated, unemployed, homeless, hungry, destitute and abandoned. But in the first sign of problems, those with direct access to State resources and those who want direct access will play the ethnic, religious or gender card to achieve the desired result.	1
11	9047	This is a renewed effort to focus attention on the plight of homeless, orphaned, abandoned, abused and destitute children throughout the African continent, a passion that Sirleaf shares with the foundation.	1
12	951	Together with his wife Vicky, Cornell established the Chris &amp; Foundation Vicky Cornell, a charity that works with vulnerable children. Currently the organization focuses on protecting these children from the ravages of homelessness, poverty, abuse and neglect. <h> 7.	1
13	606	Born a Christian, my Humility and RESPECT for especially the elderly and young people of our society is very firm, fit and intact. Likewise, my DEFENCY and JUSTICE for the defenceless and vulnerable is very similar.	1
14	6950	From sleeping hard to becoming a published author : The story of this man will make you think twice about ignoring the homeless	1
15	2385	"""Bruce has done a fantastic job in training young people, especially young people coming from the poorest of poor families, who would never have had the opportunity to even buy a cricket bat."""	1
16	4491	""""""" Volleyball is our reputation in the sport of schools. But as a disadvantaged school we are not in a position to give all the necessary facilities for players. Besides, these boys come from poor families and sadly parents are not in a state to lend their support apart from their humble blessings. Our boys are too brave to win two or three titles in four or five annual tournaments, which is a great achievement from our point of view,"" Lakshan added."""	1
17	2872	"""Ms. Archibald"" had room in her heart for everyone and firmly believed that each person should be valued and respected,"" the family said, noting that she worked in a shelter for homeless people before moving abroad. ""She would not have had any understanding of the cruel cruelty that caused her death."""	1
18	9054	Although many of these students are selected for subordinate services, the service is able to raise their poor families. <h> Impact	1
19	5629	One child huddled against his pregnant mother, among 10 other homeless children with their families in the city of Nuwara Eliya, struggling to protect himself from freezing temperatures that fell below eight degrees Celsius, was one of the scenes witnessed on Thursday night.	1
20	853	"""Iain Duncan-Smith has made clear his feelings about the benefit seekers: poor families must receive prepaid cards, charged with payments, to make sure they spend the money on food, instead of their ""self-destructive habits."""	1
21	2485	"""In addition, Chan revealed that """"care and sharing"""" will be a main theme of the next budget plan, that is, helping social groups in need of achieving the goal of supporting the disadvantaged and helping children to make society more harmonious."""	1
22	3920	5 ) Most Buddhist institutions and temples collectively do not have programs to help refugees, or provide shelter for homeless children or provide rehabilitation services. In contrast, well-established Christian churches and new evangelical groups are active at the village and city levels in helping affected people, for example, victims of political violence, come to terms with their pain. In addition, they also help people to cope with more mundane problems ( 22 ).	1
23	2803	The AIMMM records its total sympathy with the unfortunate women victims of violence and rape crimes, especially the young woman mistreated by beasts on a moving bus in Delhi on the night of 16 December which has rightly agitated a large part of the Indians. All these crimes against women and weaker sectors, especially minorities, Dalits and Adivasis, are highly condemnable and show the whole country in extreme bad light. It is time for people, police, the judiciary and government agencies to rise up to fulfil their duty to protect the weak and vulnerable sectors of society. The AIMMM urges the government to introduce deterrent punishments for such brutal crimes. It must also be accelerated with the police reforms delayed to free the police from the British Raj rules and make it capable and responsible for protecting all citizens, human rights and the honor of ordinary people.	1
24	668	It is more than just an employer for its staff, which includes young people at risk and single parents. Food and rent are paid, and it is used for needs such as child allowances or transportation expenses if someone is in need. Every month, the trained prison counselor also has mentoring sessions for his staff.	1
25	7853	"""Islamic philosophy has dealt in depth with the study of inherent mental qualities and inclinations among human beings with special reference to moral virtue. Some human beings are totally inclined to the pursuit of virtue, and are consumed with the desire for knowledge of the Divine World, known as m'arifat, or gnosis. Others tend to be carried by the things and pleasures of the world. There is a means, order of people who have inclination to gnosis, and also have aptitude for worldly affairs. This latter category is described by Imam Razi, writing in the 12th century, as ""the people of the right hand or the balanced people "", and to such persons, control over the affairs of their fellows belongs rightly. The task is never easy; mere goodness is not guarantee for success. Possession of all virtues alone is not sufficient. There must be inspiration from a superior source or intelligence. The task is never easy; mere goodness is no guarantee for success."	1
26	10467	"""She has a great platform, and information can go to places that really need to know what's going on in her hometown. She's always taken advantage of not only her platform, her voice, but also resources -- tangible resources -- to help the most needy in Houston and its surroundings."""	1
27	6052	Budget 2017 : More needs to be done for disabled people, for example groups	1
28	7110	"""""""For example, we also extend aid to the people of Yong Peng, who are under opposition, because it is our responsibility to help those in need,"" he added."	1
29	5082	ASWS CEO Di Gipey said that the coroner's report on the deaths of two women after long stories of domestic violence re-emphasized the pressing need to make real changes that make women and children safe.	1
30	7359	"""The director of the Vodafone Foundation, Andrew Dunnett, said, ""There were 16.7 million refugees around the world by the end of 2013 and 50% of them are under the age of 18. Tablet-based learning programs will provide many of the children in Dadaab with an unlimited information resource that they would otherwise not have had."""	1
31	1556	The king of Saudi Arabia, Salman, ordered on Tuesday that women be allowed to drive cars, carrying out a major reform that human rights activists have been demanding for a long time in the Islamic kingdom...	1
32	2382	Thousands of homeless people in an eviction campaign in the Kalyanpur neighborhood on Thursday are occupying the open spaces around the city of shantytowns they called home, after bulldozers razed their homes to the ground.	1
33	1416	In each and every village or city where a local newspaper from Caxton is distributed, you will find them immersed in their communities, providing assistance with projects that elevate society. A prominent initiative of the community newspaper is DICE ( Do I Care Enough), a vital component of the Zululand Observer, indelibly linked to Zululand since 1973. It is not only involved in caring for the vulnerable and dispossessed, but is active in all areas of community elevation wherever the need may be.	1
34	5948	Discrimination against persons with disabilities by society is one of the main problems undermining the progress of democratic practice in the country; it is always the dream of persons with disabilities that, pending the adoption of the Disability Bill, their position in society will be positively influenced.	1
35	2477	"With the theme "" March for our lives "", the protesters included children, adolescents, pregnant women, the elderly and without excluding the disabled who were wallowing in their wheelchairs."	1
36	6211	"""""I think another main topic is the power of human resilience and the attire of the ashes of ruin, and being willing as a really young person to speak and try to get justice. The courage of these young people has only been surprising to us. """""""""	1
37	1964	Hospitals fill up as Rohingya refugees tremble during the winter	1
38	4466	She said these women deserve the same kind of choice any woman anywhere in the world should have.	1
39	5684	VARANASI : More than six decades for Independence and the Muslim community may still be lagging behind in the field of education. But, a number of Muslim women and girls - particularly from poor families - are coming out to dispel the darkness of ignorance and bring a new dawn to the next generation of the community. They are making the community proud to make sincere efforts to spread literacy, especially among other girls and boys.	1
40	2695	What we have observed in its place has been an ever-increasing arms race of education, in which the poorest children have ended up irremediably ill equipped to fight. The signs are around us: the flourishing industry of billions of pounds of private tutors paid to increase the grades of the students????? sharp tiger parents stop at nothing to take their children to the best schools, and stressed students trying to navigate a complex and often disconcerting university admission system.	1
41	10424	"""I don't believe in abortion, I think it's evil. I would tell women to have their child and God will provide,"" said Julene."	1
42	2581	The ten wheelchairs were searched for children identified by the host, Salvation Army to allow them to become mobiles, the convocater said. Baps Caridad would go anywhere to donate whenever people are found who need the donations without any discrimination related to religion, color, origins or tribe, he said.	1
43	266	"""""As Briggs &amp; Stratton celebrates its 110th anniversary year, what better way to reaffirm our commitment to the Milwaukee community than by providing $1 million to children in need of pediatric care,"" said Rick Carpenter, vice president of corporate marketing. ""We are lucky to have one of the nation's best pediatric hospitals here within our community and Briggs &amp; Stratton strongly supports his commitment to expanding his support in the future."""	1
44	9126	Yes... because there is no hope where you live. India is a third world country. Don’t be fooled by call centers in big cities. Most of the country is rural and the majority of the population is illiterate and hopeless.	1
45	3399	For refugees asking for a new life, the feeling of Christmas is a luxury that most of them could not afford to wait under the shadow of long-lasting conflicts.	1
46	7138	For 12 years Ruby* lived a life of abuse, drugs, destitution and prostitution, but two months ago she joined the lucky few to escape the horrors of prostitution.	1
