	par_id	text	label
0	4341	It is estimated that 150,000 children from poor families were sent to parts of the British Empire between 1920 and 1974 by religious orders and charities who said they were going to lead a better life.	1
1	4136	Durban Homeless Communities Reconciliation Luncheon	1
2	10352	The next immediate problem that arose was how to help the unfortunate couple, because none of them had a birth certificate, a marriage certificate, or even an identity card. Agent Samurdhi Dhanapala lamented how he was dying for him to wear, when he met the majority of poor families in the village did not even have an identity card to officially help them.	1
3	8279	Much more important than the implications for the Gods of the economy (is the dollar up or down?) the result of last night will also mean a lot, many vulnerable New Zealanders will have a better life over the next three years at least.	1
4	1164	Strengthen child-friendly social protection systems, including cash transfer programmes that directly help poor families pay for food, health care, education and other services that protect children from the impact of poverty and improve their chances of breaking the cycle in their own lives.	1
5	7568	Today, homeless women are always looking for the same thing, a place to sleep and be safe.	1
6	6027	As a member of Care of Hope, Barnett provides food for the street people supported by the foundation on a regular basis. However, she doesn't mind cooking to feed the homeless and needy she said, because it's basically something that's already in her driveway.	1
7	9343	"""Lougen has this message to others who can still be hooked on illegal drugs: """" Don't be desperate because there is hope. You can always change. That's why every time I see on television drug users and drug dealers who have been killed, I think they should have had a chance to change them by taking them to a place like this."""""	1
8	1231	An atrocious journey The night falls early in this part of Morocco now and a cold winter is coming, prompting homeless Africans to take their chances before conditions worsen, and in the midst of sometimes severe treatment by the authorities.	1
9	911	Those of poor families were more likely to leave school without qualifications, have babies before the age of 20, commit crimes, continue to enjoy well-being and have addictions and other mental health problems in adulthood.	1
10	5431	In the midst of all these alignments and repositioning, the masses of Nigerians have remained poor, unhealthy, uneducated, unemployed, homeless, hungry, indigent and abandoned, but at the first point of difficulty, those who have direct access to state resources and those who want direct access will play the ethnic, religious or gender map to achieve the desired result.	1
11	9047	It is in a renewed effort to draw attention to the plight of the homeless, orphans, abandoned, ill-treated and indigent on the African continent, a passion that Sirleaf shares with the foundation.	1
12	951	With wife Vicky, Cornell created the Chris &amp; Vicky Cornell Foundation, a charity that works with vulnerable children. The charity is currently focusing on protecting these children from the ravages of homelessness, poverty, abuse and neglect. <h> 7. Concert in Cuba	1
13	606	Born a Christian, my HUMILITY and RESPECT for especially the elderly and young people of our society is very firm, apt and intact. Similarly, my DEFENCE and JUSTICE for the defenceless and vulnerable is very similar.	1
14	6950	Sleeping hard to become a published author: The story of this man will make you think twice about ignoring the homeless	1
15	2385	""""" Bruce did a fantastic job in training young people, especially young people who come from the poorest of poor families, who would never even have had the opportunity to buy a cricket stick."""	1
16	4491	"""""Volleyball is our reputation in school sports. But as a disadvantaged school, we are not able to give all the necessary facilities to players. Moreover, these boys come from poor families and unfortunately the parents are not in a state to make their support apart from their humble blessings. Our boys are very brave to win two or three titles in four to five tournaments each year which is a great achievement from our point of view, """" Lakshan added."""	1
17	2872	"""Ms Archibald"" had room in her heart for everyone and firmly believed that everyone should be appreciated and respected,"" the family said, noting that she worked in a homeless shelter before moving abroad.""""She would not have understood the terrible cruelty that caused her death."""""	1
18	9054	Although many of these students are selected for subordinate services, the service is capable of raising their poor families. <h> Impact	1
19	5629	A child huddled against her pregnant mother, among 10 other homeless children with their families in the city of Nuwara Eliya, struggling to protect himself from the cold temperatures that fell under eight degrees Celsius, was among the scenes observed on Thursday night.	1
20	853	"""Iain Duncan-Smith has made clear his feelings towards benefit recipients: poor families must receive prepaid, payment cards to ensure that they spend money on food, rather than their ""self-destructive habits."""	1
21	2485	"""In addition, Chan has revealed that """"care and sharing"""" will be a main theme of the next budget plan, that is, helping social groups in need to achieve the goal of supporting the disadvantaged and helping children to make society more harmonious."""	1
22	3920	On the other hand, well-established Christian churches and new evangelical groups are active at the village and city level to help those affected, such as victims of political violence, overcome their grief. Moreover, they also help people to cope with more common problems ( 22 ).	1
