	par_id	text	label
0	4341	The scheme saw about 150,000 children from poor families being sent into parts of the British Empire between 1920 and 1974, by religious orders and charities who said they would lead better lives.	1
1	4136	Reconciliation lunch among the homeless communities of Durban	1
2	10352	The next immediate problem that came out was how to help the unfortunate couple, as none of them had a birth certificate, a marriage certificate, or even an identity card. Officer Samurdhi Dhanapala complained explaining how agonizing it was for him to endure, when he came across most poor families in the village did not even have an identity document to officially assist them.	1
3	8279	Much more important than the implications for the economic gods (is the dollar up or down?) the result of last night will also mean many, many vulnerable New Zealanders will have a better life in the next three years at least.	1
4	1164	Strengthening child-sensitive social protection systems, including cash transfer programmes that directly help poor families pay for food, health care, education and other services that protect children from the impact of poverty and improve their chances of breaking the cycle in their lives.	1
5	7568	Today, homeless women are still looking for the same thing, a place to sleep and be safe.	1
6	6027	As a Care of Hope member, Barnett provides food for street people catering from the foundation on a regular basis. She, however, no matter having to cook to feed the homeless and the needy said, because this is basically something that is already in her alley.	1
7	9343	"""Lougene has this message to others who can still be hooked on illegal drugs: """" Don't be hopeless because there is hope. You can still change it. That's why every time I see on TV drug addicts and drug dealers who have been killed, I tell myself that they should have had the chance to change them by taking them to a place like this. """""	1
8	1231	A heartbreaking journey Night falls soon in this part of Morocco now and a cold winter protrudes, pushing the homeless Africans to take their chances before conditions worsen, and in the midst of sometimes harsh treatment by the authorities.	1
9	911	Those from poor families were more likely to leave school without qualifications, have children before 20 years of age, commit crimes, move on well-being and have addictions and other mental health problems in adulthood.	1
10	5431	In the midst of all these alignments and repositioning, the mass of Nigerians have remained poor, unhealthy, uneducated, unemployed, homeless, hungry, needy and abandoned. But at the first hint of difficulty, those who have direct access to state resources and those who want direct access will play the ethnic, religious or gender card to achieve the desired result.	1
11	9047	This is in a renewed effort to focus attention on the situation of the homeless, orphans, abandoned, abused and needy children throughout the African continent, a passion that Sirleaf shares with the foundation.	1
12	951	Together with his wife Vicky, Cornell set up the Chris &amp; Vicky Cornell Foundation, a charity that works with vulnerable children. The charity currently focuses on protecting these children from the devastation of the homeless, poverty, abuse and neglect.	1
13	606	Born a Christian, my humility and my respect for above all the elderly and young people of our society is very firm, suitable and intact. Similarly, my DEFENCE and my JUSTICE for the helpless and vulnerable are very similar.	1
14	6950	From the hard sleep to becoming a published author: The story of this man will make you think twice of ignoring the homeless	1
15	2385	""""" Bruce has done a fantastic job in training young people, especially young people who come from the poorest of poor families, who would never have had the opportunity to buy even a cricket bat."""""""	1
16	4491	""""" volleyball is our reputation in sports schools. But as a disadvantaged school we are not able to give all the necessary facilities by the players. Also these guys come from poor families and unfortunately even parents are not in a state to make their support apart from their humble blessings. Our guys are very brave to win two or three titles in four or five tournaments each year which is a great result from our point of view, """"Lakshan added."""	1
17	2872	"""Ms. Archibald"" had space in his heart for everyone and strongly believed that every person had to be valued and respected, """" the family said, noting that he worked in a homeless shelter before moving abroad. """" She would not have understood the callous cruelty that caused his death."""	1
18	9054	Although many of these students are selected for subordinate services, the service is able to lift their poor families.	1
19	5629	One child caressed himself against the pregnant mother, among the other 10 homeless children with their families in the city of Nuwara Eliya, struggling to protect themselves from cold temperatures that fell below eight degrees Celsius, was among the scenes witnessed on Thursday evening.	1
20	853	"""Iain Duncan-Smith made clear his feelings about the requesting benefits: poor families must be given prepaid cards, charged with payments, to make sure they spend money on food, rather than their """" self-destructive habits ""."""	1
21	2485	"""Moreover, Chan has revealed that """" care and sharing """" will be a major theme of the next budget plan, that is, helping social groups in need to achieve the goal of supporting the disadvantaged and helping children to make society more harmonious."""	1
22	3920	5) Most Buddhist institutions and temples collectively have no programs to help refugees, or provide shelter for homeless children or provide rehabilitation services. On the contrary, well-established Christian churches and new evangelical groups are active at village and city level to help affected individuals, for example victims of political violence, come to terms with their pain. Also, they help people cope with more worldly problems (22).	1
23	2803	The AIMMM recorded its full sympathy for the unfortunate victims of violence and rape, in particular the young woman brutalized by beasts on a moving Delhi bus on the night of December 16 which rightly agitated a large section of Indians. All these crimes against women and the weakest sections, especially minorities, Dalit and Adivasis are highly condemnable and show the entire country in bad light. It is time people, police, judiciary and government agencies have risen to fulfill their duties to protect the weak and vulnerable sections of society. The AIMMM urges the government to introduce dissuasive penalties for such brutal crimes. It should also hasten with late police reforms to free the police force from British Raj rules and make it capable and responsible to protect all citizens, human rights and honor of the common people.	1
