	par_id	text	label
0	4341	According to the system, an estimated 150 000 children of poor families were sent to parts of the British Empire between 1920 and 1974 by religious organizations and charitable organizations who said they were leading a better life.	1
1	4136	Durban Homeless Reconciliation Lunch	1
2	10352	The next immediate problem that came up was how to help the unhappy couple, because neither of them had a birth certificate, a marriage certificate or even an identity card. Samurdhi’s officer, Dhanapala, lamented how painful it was for him to endure when he ran into the majority of poor families in the village, and he didn’t even have an identity card to help them officially.	1
3	8279	Much more important than the effects on economic gods (has the dollar risen or decreased?) last night’s result also means that many, many vulnerable New Zealanders will have a better life in at least the next three years.	1
4	1164	Strengthening child sensitive social security systems, including money transfer programmes to help poor families pay directly for food, health care, education and other services that protect children from the effects of poverty and improve their chances of breaking the cycle in their own lives.	1
5	7568	Today, homeless women are still looking for the same thing, a place to sleep and be safe.	1
6	6027	As a member of Hope, Barnett regularly provides food to the street people served by the Foundation, but he does not mind having to cook to feed the homeless and the needy because this is basically already in his alleyway.	1
7	9343	"""Lougene has this message to others who may still be addicted to illegal drugs: ""Don't be hopeless because there's hope. You can still change. That's why every time I see killed drug users and dealers on TV, I tell myself that they should have been given the chance to change by bringing them to this place."""	1
8	1231	The tragic journey of Night falls early in this part of Morocco, and the cold winter is nearing, causing homeless Africans to take their chances before conditions get worse and sometimes harsh treatment of the authorities.	1
9	911	Poor families were more likely to leave school without a degree, had children before they were 20 years old, committed crimes, continued their well-being, and were dependent on adults and other mental health problems.	1
10	5431	In the midst of all these policies and repositioning, the Nigerians have remained poor, unhealthy, uneducated, unemployed, homeless, hungry, poor and abandoned. But as soon as the situation starts to bother, those who have direct access to state resources and those who want direct access play ethnic, religious or sexual cards to achieve the desired result.	1
11	9047	This is a new attempt to draw attention to the plight of homeless, orphaned, abandoned, exploited and alienated children throughout the continent of Africa, a passion shared by Sirleafi and the Foundation.	1
12	951	Cornell and his wife Vicky set up the Chris &amp; Vicky Cornell Foundation, which is working with vulnerable children. The charity is currently focusing on protecting children from the damage caused by homelessness, poverty, abuse and neglect.	1
13	606	I was born as a Christian, a humorous, and a point of view, especially for the elderly and young people in our society, it is very strong, apt and intact. Similarly, the same is true for the helpless and vulnerable.	1
14	6950	From sleeping to being a crudely published writer: The story of this man makes you think twice about ignoring the homeless	1
15	2385	"Bruce has done a great job of educating young people, especially young people, who come from the poorest families who would never even have had the chance to buy a cricket bat."""	1
16	4491	""""""" Volleyball is our reputation in school sports. But as a disadvantaged school we cannot give all the facilities needed by players. Moreover, these boys come from poor families, and unfortunately parents are not in a state where they support them, except for their modest blessings. Our boys have great courage to win two or three championships in four to five tournaments a year, which is a great achievement from our point of view,"" Lakshan added."	1
17	2872	"""Miss Archibald had room in her heart for everyone, and she strongly believed that everyone should be appreciated and respected,"" the family said and said that she worked in a homeless shelter before she moved abroad. ""She would not have understood the insensitive cruelty that caused her death."""	1
18	9054	Although many of these students are selected for a lower service, the service is able to improve the position of their poor families. <h> Impact	1
19	5629	On Thursday night there was a child against his pregnant mother, including 10 other homeless children and their families in Nuwara Eliya, who struggled to protect herself from frosts below eight degrees Celsius.	1
20	853	"""Iain Duncan-Smith has made clear how they feel about those who apply for benefits: the poor families must be given prepaid cards to which payments have been charged so that they can spend the money on food instead of spending the money on their ""self-destructive habits""."	1
21	2485	"In addition, Chan revealed that ""care and sharing"" is the main theme of the future budget plan, i.e. helping social groups that need support for disadvantaged people and helping children to make society more harmonious."""	1
22	3920	5) Most Buddhist institutions and temples do not share programmes to help refugees, protect homeless children or provide rehabilitation services; instead, established Christian churches and new evangelical groups actively help people at village and city level, such as victims of political violence, to cope with their grief; and they help people cope with more everyday problems (22).	1
23	2803	The AIMMM expresses its complete sympathy for the unfortunate female victims of violence and rape crimes, particularly against the young women who have been torn up by predators on the mobile Delhi bus on 16 December and who have rightly brought up a large proportion of the Indians. All such crimes against women and the weaker parts of society, particularly against minorities, Dalits and Adivas, are highly reprehensible and show the whole country in an extremely bad light. It is time that people, the police, the judiciary and government agencies adhere to their obligations to protect the weak and vulnerable parts of society. AIMMM calls on the government to introduce dissuasive penalties for such brutal crimes.	1
24	668	He is more than just an employer for his staff, including risk and single parents. Food and rent are paid, and he pays for necessities such as child compensation or transport fees if someone needs help. Trained prison counselors also hold mentoring sessions for their staff each month.	1
25	7853	"""Islamic philosophy has studied man's natural mental qualities and inclinations for a long time, particularly referring to moral virtue. Some people are perfectly inclined to pursue virtue, and they are consumed by the desire to learn about the divine world known as m'ariphat, or Gnosis. Others are inclined to take away the affairs and pleasures of the world. There are those people who are inclined to gnosy and who also have the ability to worldly things. This last class is an image of Imam Razi, who writes in the 12th century ""the right hand or balanced people"" and these persons who control the affairs of their fellows who have earned power are never an easy task, mere goodness is not a guarantee of success."	1
26	10467	"""""He has one huge ship, and information can go to places where you really need to know what is happening in his home town. He has always used not only his platform, his voice, but also resources -- concrete resources -- to help those who need most in Houston and its surroundings."""	1
27	6052	Budget 2017: More needs to be done for people with disabilities, for example groups	1
28	7110	""""""" For example, we have also extended our assistance to the people of Yong Peng, who is the opposition because it is our responsibility to help those who need ', he added."""	1
29	5082	Mr Di Gipey, CEO of ASWS, said that the medical examiner’s report on the death of two women after a long period of domestic violence again showed the need to make real changes that would make women and children safe.	1
30	7359	"""The leader of the Vodafone Foundation, Andrew Dunnett, said: """" At the end of 2013, there were 16.7 million refugees worldwide, 50% of whom are under 18 years of age. Tablet-based learning programs offer many children of Dadab an unlimited source of information that they would otherwise not have had."""	1
31	1556	On Tuesday, King Salman of Saudi Arabia ordered that women be allowed to drive and carry out the great reform that human rights activists have long demanded in the Islamic Empire.	1
32	2382	Thousands of people were homeless in an eviction drive in Kalyanpur slums on Thursday, and they are occupying the shanty city around their home after bulldozers had destroyed their homes.	1
33	1416	In every city or city where Caxton's local newspaper is distributed, they are engrossed in their communities, helping to raise society. An inseparable community magazine initiative is DICE ( Do I Care Enough ), an important part of the Zululand observer who is permanently linked to Zululand since 1973. In addition to being involved in the management of the vulnerable and isolated, it is active in all areas of community uplifting whenever there is a need.	1
34	5948	Discrimination against people with disabilities in society is one of the biggest problems that undermine the democratic development of the country. The dream for people with disabilities is always that as long as the draft disability law is adopted, their position in society will have a positive impact.	1
35	2477	Among the protesters were children, teenagers, pregnant women, old people, but also disabled people with wheelchairs.	1
36	6211	""""""""" Another main topic I think is the power of man's tolerance and the retreat from the ashes of destruction, and the willingness to speak out as a truly young person and try to get justice. The courage of these young women has been only amazing to us."""	1
37	1964	Hospitals will be filled when the Rohingya refugees tremble throughout the winter	1
38	4466	He said that these women deserve the same choice that any woman around the world should have.	1
39	5684	VANNASI: More than six decades of independence and the Muslim community may still be lagging behind in the field of education, but many Muslim women and girls, especially from poor families, are coming to dispel the darkness of ignorance and to bring a new beginning to the future generation of the community, proud of their sincere efforts to spread literacy, especially among other girls and children.	1
40	2695	Instead, we have seen an ever-increasing training armaments competition in which the poorest children have become hopelessly ill prepared to fight. Signs are everywhere around us: the growing sector of private tutors, which has cost them a billion kilos of money to raise their students???	1
41	10424	"""""I don't believe in abortion, I think it's bad. I would encourage women to have their children and God gives them,"" said Julene."	1
42	2581	Ten wheelchairs were retrieved from the host, the Salvation Army, so that they could move. I call the convening parties. Baptisty would go anywhere to donate if people who needed a donation were found without discrimination in religion, colour, origin or tribe, he said.	1
43	266	""""" Like Briggs &amp; Stratton celebrates its 110th anniversary, which would be a better way to strengthen our commitment to Milwaukee Community than to give a million dollars to children who need childcare,"" said Rick Carpenter, vice president, corporate marketing. """" ""We are lucky to have one of the nation's best children's children's houses here in our community, and Briggs &amp; Stratton is strongly behind its commitment to expanding its support for the future."""	1
44	9126	Yes... because there is no hope where he lives. India is a third-world country. Do not be fooled by telephone centres in large cities. Most of the country is rural and most of the population is illiterate and hopeless.	1
45	3399	For refugees who are begging for a new life, Christmas is a luxury that most of them could not afford to expect in the shadow of long - lasting conflicts.	1
46	7138	Ruby lived for 12 years in exploitation, drugs, homelessness, and prostitution, but two months ago she joined the fortunate ones who fled the horrors of prostitution.	1
47	8206	In an unmarked brick building a few blocks from the Mexican border, immigrant parents grabbed the birth certificates and asylum papers and sat on folding chairs, waiting for one shared landline.	1
48	206	"""Smyth said to HKFP: ""The biggest challenge is that refugees or asylum seekers who come here cannot work, and they have children here – their children are stateless; it is really the cause of the great stress in the community."""	1
49	8165	Through Gawad Kalinga, Meloto has proved to be a key factor in the housing industry, helping to provide decent housing and sustainable livelihoods for marginalised and homeless Filipinos.	1
50	7341	Egypt billion offers for the purchase of the Mediterranean island for refugees	1
51	4963	The main charity organisation of Tour Star SA is the Dignity Dreams project, which provides emergency schoolgirls with reusable, washable health wipes.	1
52	5827	The inhabitants of Poranu Kotuwa, who have been deprived of a healthy and independent life under normal weather conditions, are facing a truly hopeless future.	1
53	343	"""Helen Schafer decided to help a family in distress."" Instead of sending gifts to my clients, I have sent them a letter in which he says effectively: ""This is what we're going to do, because it seems a hell of a lot more meaningful."""	1
54	8630	"""Every family that is entitled to the program should be covered. Every child in poor families must be placed and held in school and should enjoy health and nutrition care,"" Romualdez said."""	1
55	6811	While many Muslims can count on their blessings, they should not forget the fate of the poor and those in need.	1
56	717	This year, in recognition of their continued dedication and charity to help all in need of help through mutual assistance, true companionship and sound memory over the past 90 years, mothers of a better film, Ole Shellhole, are proud to be considered an honor guard and watchmen during this year’s Wayside Cross Memorial ceremony.	1
57	1117	"""Even though Ran has excellent academic qualifications, he is shown the door in countless interviews to the teaching assignment. After five years he finally gets a job at St Notkers, but there is a catch. He gets a notorious 9F, ""the hopeless"" students from nearby slums who study in school on the basis of right-wing education, but do not accept teachers or students."""	1
58	1482	Aklima Sultana, a school teacher, told The Daily Star that I am very proud to be teaching underprivileged students from very poor families.	1
59	5195	But the most striking thing about Trump’s answer is the gloomy picture he has of America and of black life: poverty, gun violence, poor education and hopelessness.	1
60	6988	After the Vatican dispute, McDonald's helps feed the homeless in Rome	1
61	9850	Pope Francis has made defending the poor and needy the cornerstone of papacy, erecting shower stalls for the homeless near the Vatican, offering meals and even a VIP-style visit to the Sistine Chapel.	1
62	8093	""""""" Most of the time you hear people who are in favour of involving women in the administration because they are vulnerable, but most people do not understand that disabled people are even more vulnerable than women and need to be supported,"" he added."	1
63	8894	"""We want to deliver these bicycles to Vietnamese students from poor families in remote areas so that they can continue their studies,"" said Michael Shuman, former U.S. Marine."	1
