	par_id	text	label
0	4341	The scheme was in the 1920s, 1974, according to religious orders and charities, 150,000 children from poor families, who sent into parts of the British Empire on religious orders and charities, who said they would lead a better life.	1
1	4136	Durban Homeless Assembly Stimulates Lunch	1
2	10352	The next direct problem was how to help an unhappy couple, because none of them had a birth certificate, a marriage certificate or even a personal card. Samurdhi officer Dhanapala regretted how sick he was to carry when he ran into most of the poor families in the village, he didn’t even have an ID to officially help them.	1
3	8279	Much more important than the implications for the gods of the economy (is the dollar up or down?) last night's outcome means many, many vulnerable New Zealanders will have a better life for at least the next three years.	1
4	1164	To strengthen child-sensitive social protection systems, including money transfer programmes that directly help poor families pay for food, health care, education and other services, which protect children from the impact of poverty and improve their chances of ending their cycle in their lives.	1
5	7568	Today, homeless women are still looking for the same, a place to sleep and safety.	1
6	6027	Barnett, a member of Care of Hope, provides food to street people who are regularly hosted by the foundation. However, she does not have to cook to feed the homeless and the needy, because it is basically something that is already in her alley.	1
7	9343	"""Lougene has this message to others, who can still resort to illegal drugs: ""Don't be hopeless, because there is hope."	1
8	1231	The intense journey of the Night falls to the very end of Morocco now, and the cold winter is coming, prompting the homeless Africans to risk before the situation worsens, and sometimes in cruel treatment by the authorities.	1
9	911	Those in poor families had a better chance of leaving school without qualifications, having babies by the age of 20, committing crimes, going to welfare and having other mental health problems in adults.	1
10	5431	In the midst of all this alignment and repositioning, the mass of Nigerians remained weak, unhealthy, uneducated, unemployed, homeless, hungry, poor and abandoned.	1
11	9047	It is a renewed effort to focus on the plight of the homeless, the orphans, the abandoned, abused and poor children throughout the African continent, the passion Sirleaf shares with the foundation.	1
12	951	Together with his wife Vicky Cornell founded Chris & Vicky Cornell Foundation, a charity that works with vulnerable children.	1
13	606	Born Christian, my ability and RESPECT for special elders and young people in our society is very firm, apt and intact.	1
14	6950	From grave to becoming a published author : The story of this man will make you think twice about ignoring the homeless	1
15	2385	"""Bruce did a fantastic thing at a school of young people, especially young ones who come from the poorest of poor families, who would never have had the chance to buy a cricket bat."""	1
16	4491	"""The volleyball is our reputation in sports at school, but as a poorly-privileged school, we are not in a position to give everything players need."	1
17	2872	"""Mrs. Archibald"" had room in her heart for everyone and believed strongly that every person should be appreciated and respected,"" said the family, noting that she was working in a shelter for the homeless before moving to the sea. "" ""She would not know about the cruelty that caused her death."""	1
18	9054	Although many of these students have been selected for subordinate services, the service is able to raise their poor families. <h> Impact	1
19	5629	A child horrified against her pregnant mother, including 10 other homeless people and their families in the city of Nuwara Eliya, who struggled to protect herself from freezing temperatures that fell below 8° Celsius, was among the witness scenes on Thursday night.	1
20	853	"""Iain Duncan-Smith has clearly expressed his feelings about the benefits: poor families should give tickets paid for, filled with wages, to make sure they spend money on food, not on their ""self-destructive habits."""	1
21	2485	"""In addition, Chan discovered that """"care and sharing """" will be the main theme of the upcoming budget plan, that is, helping social groups in need to achieve their goals, how to help the disabled and help children simplify society."""	1
22	3920	5 ) Most Buddhist institutions and temples collectively do not have programs to help refugees, nor to provide shelter to the homeless or to provide rehabilitation services. On the contrary, well-established Christian churches and new evangelical groups are active at the rural and urban level in helping affected persons, such as victims of political violence, come to their senses with their grief.	1
23	2803	AIMMM registers its complete sympathy with the unfortunate women of the victim of violence and rape, especially the young lady brutalized by the beast on the bus in Delhi on the night of 16 December, who rightly upset a large part of the Indians. All such crimes against women and the weak sections, especially minorities, Dalits and Adivasis are highly convicted and show the whole country in extreme bad light. It is time for people, police, justice and government agencies to stand up to perform their duties to protect the weak and vulnerable sections of society. AIMMM calls on the government to introduce deterrent sentences for such brutal crimes. This should also be accelerated by the failed police reforms to free the police from British rules of Paradise and make it capable and responsible to protect all citizens, human rights and honour of ordinary people.	1
24	668	He is more than the employer himself to his staff, which includes young people in danger and single parents. Food and rent are paid, and he chips for the necessary needs, such as child allowances or traffic expenses if someone is in trouble.	1
25	7853	"""The Islamic philosophy has long been engaged in the study of attached mental personalities and tendencies among human beings with a special reference to moral virtue. Some people are called to the pursuit of virtues, and enjoy the desire to know the Divine World, known as m'ariphat, or gnosus. Others are characterized by taking away things and pleasures of the world. There is a middle, order of people with a propensity to gnosy, and also have the ability to world world affairs. This latter category is described as Imam Razi, writing in the 12th century because ""people of the right hands or balanced people"". There is a middle, order of persons who tend to gnos, and also have the ability to rule the things of their colleagues."	1
26	10467	"""There is one huge platform, and information can go to places that really need to know what's going on in her hometown. She has always used not only her platform, her voice, but also resources -- tangible resources -- to help those most needed in Houston and around."""	1
27	6052	Budget 2017 : More needs to be done for people with disabilities, such as groups	1
28	7110	"""For example, we are helping the people of Yong Peng, who are under opposition, because it is our responsibility to help those who are in trouble,"" he added."	1
29	5082	CEO ASWS Di Gipey said in a Coroner's report on the death of two women after a long history of domestic violence, he reiterated the necessary need to make real changes that will make women and children safe.	1
30	7359	"""The director of the Vodafone Foundation Andrew Dunnett said, ""There were 16.7 million refugees worldwide at the end of 2013, and 50% of them are under 18 years of age. Tablet-based learning programmes will allow many children in Dadaab unlimited resource information, which otherwise would not be available."""	1
31	1556	Saudi Arabia, King Salman, ordered on Tuesday that women be allowed to drive cars, carrying out a major reform, which rights activists have long sought in the Islamic kingdom.	1
32	2382	Thousands of people became homeless in an eviction ride in Kalyanpur on Thursday occupy open spaces around the hanty-towns, which they called home after bulldozers destroyed their homes to the ground.	1
33	1416	In each city or city, where local Caxton paper is distributed, you will find them sunk in their communities, providing assistance with projects that raise society. Stand-out community initiatives is DICE (Do I Care More ), vital component of Zululand Observer, indelibly linked to Zululand since 1973. Not only is it involved in caring for vulnerable and expelled people, but it is active in all spheres of community raising wherever that need is.	1
34	5948	Discrimination against persons with disabilities by society is one of the main problems, undermining the progress of democratic practice in the country. It is always a dream of a disabled person, that as long as the disability law is adopted, their position in society will be positively influenced.	1
35	2477	Themed'March for our Lives', Protestants included children, teenage girls, pregnant women, old and not excluded disabled people who rolled on their wheel chairs.	1
36	6211	"""I mean, another main topic is the force of human resistance and the limitations of ashes of ruins, and to be willing as a truly young person to speak and try to get justice."	1
37	1964	Hospitals are filling up while Rohingya's fugitives shake until winter.	1
38	4466	She said those women deserve the same choice any woman in the world should have.	1
