	par_id	text	label
0	4341	The outline saw an estimated 150, 000 tike from wretched families being broadcast to parts of the British Empire between 1920 and 1974, by religious order of magnitude and charities who enunciate they would lead better lives.	1
1	4136	Durban ' s homeless person community reconciliation lunch	1
2	10352	The next immediate problem that cropped upwards was how to assist the unfortunate couple, as neither of them possessed a birth certificate, a marriage ceremony certificate, or yet an identity card. The Samurdhi Police officer Dhanapala lamented explain how agonizing it was for him to bear, when he came across the majority of poor family in the village did not possess even an ID to assist them officially.	1
3	8279	Far more significant than the implication for the Economy Gods (is the dollar bill up beaver state down?) last night ' s outcome will also mean many, many vulnerable New Zealanders will have a good life concluded the adjacent three years at least.	1
4	1164	To strengthen child - sensitive social protection systems, including immediate payment carry over programmes that flat help poor families to ante up for food, wellness care, education and other services that protect child from the impact of poverty and improve their chances of breaking the cycle in their ain lives.	1
5	7568	Today, dispossessed women embody still searching for the same thing. A place to sleep and constitute dependable.	1
6	6027	As a appendage of Care of Hope, Barnett provide food for the street people catered to by the founding on a regular basis. She, however, does n ' t idea having to cook to feed the homeless person and the needy she said, because this is essentially something that is already up her alley.	1
7	9343	""" Lougene has this message to others who may nevertheless be hooked on illegal drugs: "" "" Do n ' t be hopeless because there is hope. You toilet yet exchange. That ' s why whenever I see on TV drug user and dealers that were killed, I say to myself they should have been yield a opportunity to change by make for them to a place such as this. "" "" """	1
8	1231	A harrowing journeying Night falls betimes in this part of Morocco now and a cold winter loom, prompting the homeless person African to take their chances before circumstance worsen, and amid sometimes harsh treatment by authorities.	1
9	911	Those from poor families were to a greater extent likely to leave school without reservation, have infant before they were xx, commit crimes, go on social welfare and have dependence and early genial health problems in adulthood.	1
10	5431	In the midst of all these alignment and repositioning, the mass of Nigerians have remain short, unhealthful, uneducated, unemployed, homeless, athirst, destitute and abandoned. Simply at the first hint of trouble, those with direct access to state resources and those who want direct access will play the ethnical, religious or gender card to reach the desired result.	1
11	9047	This is in a renewed effort to focus attention on the plight of the homeless, orphan, abandoned, abused and needy nestling across the African continent, a rage which Sirleaf shares with the foundation garment.	1
12	951	Together with wife Vicky, Ezra cornell established the Chris & amp; Vicky Ezra cornell Base, a polemonium caeruleum that works with vulnerable children. The charity currently focuses on protecting these children from the ravages of homelessness, impoverishment, abuse and neglect. <h> seven. Cuba concert	1
13	606	Born a Christian, my HUMILITY and RESPECT for particularly the elderly and young of our fellowship is really firm, apt and entire. In like manner, my defense and JUSTICE for the helpless and vulnerable is very much same.	1
14	6950	From kip rough to becoming a published generator: This man ' s story will fix you call up double around ignoring the homeless person	1
15	2385	""" "" "" Sir david bruce has done a fantastic line in training fry, particularly the youngsters that come from the poorest of the poor families, who would never have yet have an opportunity to even buy a cricket chiropteran. "" "" """	1
16	4491	""" "" "" Volleyball is our repute in schooltime ' sport. But as an underprivileged school we are not in a spatial relation to give all the facilities needed by the players. Moreover these boys come from poor families and sadly the parents too are not in a state to render their reinforcement apart from their humble blessing. Our boys are very brave to win two surgery three titles in four to five tournaments annually which is a great accomplishment from our tip of view, "" "" Lakshan added. """	1
17	2872	""" Ms. Archibald "" "" experience room in her heart for everyone and believe strongly that every person was to be valued and respected, "" "" the family said, noting she worked at a homeless person shelter prior to moving overseas. "" "" She would have had no understanding of the callous cruelty that caused her end. "" "" """	1
18	9054	Even though many of these students pay back selected to subdue services, the service is subject of uplift their pitiable families. <h> Impact	1
19	5629	A child huddle against her pregnant female parent, among 10 other homeless children with their families in Nuwara Eliya town, struggling to shield themselves from immobilise temperatures which dropped below viii level Celsius, be among the picture witnessed on Thursday dark.	1
20	853	""" Iain Duncan - Smith has made his smell about benefits claimants clear: miserable mob are to be given pre - paid cards, load with payments, to attain sure they spend the money on food, kind of than their "" "" self - destructive habit "" "". """	1
21	2485	""" In addition, Chan revealed that "" "" guardianship and apportion "" "" will comprise a main theme of the coming budget programme, that be, assisting societal groups in need to attain the end of supporting the disadvantaged and helping the kid to make the society more harmonious. """	1
22	3920	5) Most Buddhist institutions and temples together with have no programmes to assist refugees, or provide shelter for homeless children or provide rehabilitation services. In contrast, the well established Christian churches and new evangelical groups represent combat ready at village and town levels in help affected individuals e. g. dupe of political violence, come to terms with their brokenheartedness. Further, they also help people to cope with more mundane problems (twenty two ).	1
