	par_id	text	label
0	4341	Between 1920 and 1974, an estimated 150,000 children from poor families were sent to parts of the British Empire by religious denominations and charities, who are said to live a better life.	1
1	4136	Homeless community reconciliation lunch in Durban	1
2	10352	The next crucial question is how to help unfortunate couples because they do not have a birth certificate, a marriage certificate, or even an identity card. Officer Samurdhi of Dhanapala explains how painful he felt when he met most of the poor families in the village, not even officially assisting them with an identity card.	1
3	8279	Much more important than the impact on the economic gods. Last night’s outcome will also mean that many vulnerable New Zealanders will have a better life, at least in the next three years.	1
4	1164	Strengthen child-sensitive social protection systems, including cash transfer programmes, that directly help poor families to pay for food, health, education and other services, protect children from the effects of poverty and increase their chances of breaking their life cycle.	1
5	7568	Today, homeless women are still looking for the same thing.	1
6	6027	As a member of Caring for Hope, Barnett regularly provides food to street people in the care of the Foundation.	1
7	9343	“Lougene has this message for others who may still be fascinated by illicit drugs: “Don't despair, because there is hope. You can still change. That's why whenever I see drug users and murdered drug dealers on television, I say to myself that they should have the opportunity to change and bring them to a place like this...”.	1
8	1231	Africans who have been rendered homeless have had the opportunity, sometimes harshly, to be treated by the authorities before conditions deteriorated.	1
9	911	People from poor families are more likely to leave school without qualifications, to have children before the age of 20, to commit a crime, to have children before the age of 20.	1
10	5431	In all these realignments and repositionings, Nigerians remain poor, unhealthy, uneducated, unemployed, homeless, hungry, destitute, and abandoned. But, at the outset, those who have direct access to national resources and those who want direct access to resources will play the role of ethnic, religious, or gender cards to achieve the desired results.	1
11	9047	This is a renewed effort to focus attention on the plight of homeless, orphaned, abandoned, abused and poor children throughout the African continent, with the same enthusiasm as the Foundation.	1
12	951	Cornell, together with his wife, Vicky, founded Chris & Pamp; the Vicky Cornell Foundation, a charitable organization working with vulnerable children, which currently focuses on protecting these children from homelessness, poverty, abuse and neglect.	1
13	606	I was born a Christian, and my care and respect for the elderly and young in society is very firm, appropriate and complete, as is my defence and justice for the helpless and vulnerable.	1
14	6950	From sleepless rough to becoming a publisher: this person's story will make you think twice about neglecting the homeless.	1
15	2385	Bruce did a great job in training young people, especially from the poorest families, who didn't even get a cricket bat.	1
16	4491	Our boys are brave enough to win two or three champions in four or five games a year. From our point of view, this is a great achievement, “Lakshan adds.”	1
17	2872	"""Mrs. Archibald"" leaves room for everyone in her heart and strongly believes that everyone should be valued and respected, ""the family says, ""Noting that she worked in a homeless shelter before moving abroad, ""she will not understand the cruel and cruel nature of her death."""	1
18	9054	Despite the fact that many of these students are selected for lower-level services, services can still raise poor families. <h> Impact	1
19	5629	The scene seen on Thursday night included a child around her pregnant mother, along with 10 other homeless children in the town of Nuwara Eliya with their families.	1
20	853	“Iain Duncan-Smith has clearly expressed his view of the welfare claimants: poor families will receive prepaid cards.	1
21	2485	Helping social groups in need to achieve the goal of supporting vulnerable groups and helping children to improve social harmony.	1
22	3920	5) Most Buddhist institutions and monasteries do not have programmes to assist refugees, nor do they provide shelter or rehabilitation services for homeless children; on the contrary, at the village and town levels, Christian churches and new evangelical groups have been active in helping affected individuals, such as victims of political violence; in addition, they have helped people to solve more ordinary problems (22).	1
23	2803	The AIMMM expresses its full sympathy to the unfortunate women victims of violence and rape, in particular the young lady who was abused by a beast on a mobile Delhi bus on the night of 16 December, which rightly provoked a large number of Indians. All such crimes against women and vulnerable groups, particularly ethnic minorities, Dalits and Adivasis, are highly condemnable and displayed in the country in the worst terms. It is time for the people, the police, the judiciary, and government agencies to stand up to fulfil their responsibility to protect the weak and the vulnerable. The AIM urges the Government to impose deterrent punishment for such brutal crimes. It should also accelerate the long overdue police reform in order to free the police force from the British Raj rules and enable it to protect all citizens, human rights and the reputation of ordinary people with competence and responsibility.	1
24	668	He is not only an employer of his staff, including young people at risk and single parents; food and rent are paid and, if necessary, he buys necessities such as child allowances or transportation costs; monthly, trained prison counsellors also organize mentoring courses for his staff.	1
25	7853	There is an intermediate order, composed of those who prefer autism, which also has the capacity to perform world affairs. The last category, written by Imam Razi in the 12th century, is “... right hand or balanced people,” and those who desire to understand the sacred world, known as ‘frifat’, or spiritual solidarity.	1
26	10467	"She has a huge platform where information can reach where it really needs to know what's happening in her hometown. She uses not only her own platform, voice, but also resources -- physical resources -- to help those most in need in and around Houston."""	1
27	6052	2017 budget: More needs to be done for the disabled population.	1
28	7110	“For example, we also extend a helping hand to the people of Yong-Peng under the opposition, because it is our duty to help those in need.	1
29	5082	SASWS CEO Di Gipey said that the coroner's report on the death of two women as a result of long-term domestic violence once again highlighted the fact that the death of two women was not a cause for concern.	1
30	7359	"Andrew Dunne, Director, Vodafone Foundation, said, ""At the end of 2013, there were 16.7 million refugees worldwide, 50 per cent of whom were under 18 years of age, and a rock-based learning programme would provide many children in Dadaab with unlimited information resources that they would not otherwise have."""	1
31	1556	Saudi King Salman ordered that women be allowed to drive cars on Tuesday.	1
32	2382	Thousands of people have been rendered homeless during the eviction campaign in the Kalyanpur slum (Kalyanpur), and after bulldozers razed their houses to the ground, they have taken up empty land around what they call their shantytowns.	1
