	par_id	text	label
0	4341	The program saw an estimated 150,000 children from poor families sent to parts of the British Empire between 1920 and 1974, through religious orders and charities that said they would lead better lives.	1
1	4136	Durban's Homeless Communities Reconciliation Lunch	1
2	10352	The next immediate problem that arose was how to support the unhappy couple, since none of them had a birth certificate, a marriage certificate, or even an identity card. Samurdhi officer Dhanapala complained to explain how painful it was for him to wear when he came to the majority of the poor families in the village, did not even have an ID card to help them officially.	1
3	8279	Far more important than the implications for the economic gods (is the dollar up or down? ) last night's result will also mean many vulnerable New Zealanders have a better life over the next three years at least.	1
4	1164	Strengthening child-sensitive social protection systems, including money transfer programmes that directly help poor families pay for food, healthcare, education and other services that protect children from the effects of poverty and improve their chances of breaking the cycle in their own lives.	1
5	7568	Today, homeless women are still looking for the same thing, a place to sleep and be safe.	1
6	6027	As a member of Care of Hope, Barnett provides food for the street people provided by the Foundation on a regular basis. She, however, does not mind cooking to feed the homeless and the needy, she said, because this is basically something that is already in her alley.	1
7	9343	"""Lougene has this message to others who can still hang on to illegal drugs: """" Don't be hopeless because there is hope. They can still change. Therefore, when I see on TV drug users and traders who have been killed, I tell myself they have a chance to change by taking them to a place like this."""	1
8	1231	A shocking journey night falls early in this part of Morocco now and a cold winter threatens, which causes the homeless Africans to take their chances before the conditions deteriorate, and in the midst of sometimes harsh treatment by the authorities.	1
9	911	Those from poor families were more likely to leave school without qualifications, have babies before they were 20, commit crimes, go on welfare and have addiction and other psychological health problems in adulthood.	1
10	5431	In the middle of all these orientations and repositioning, the mass of Nigerians have remained poor, unhealthy, uneducated, unemployed, homeless, hungry, destitute and abandoned. But at the first touch of difficulties, those with direct access to state resources and those who want direct access play the ethnic, religious or gender card to achieve the desired result.	1
11	9047	This is in a renewed effort to focus attention on the plight of the homeless, orphaned, abandoned, abused and destitute children on the African continent, a passion that Sirleaf shares with the Foundation.	1
12	951	Together with Mrs. Vicky, Cornell founded the Chris &amp; Vicky Cornell Foundation, a charity that works with children at risk. Currently, the charity focuses on protecting these children from the devastation of homelessness, poverty, abuse and neglect.	1
13	606	Born a Christian, my HUMILITY and RESPECT for especially the older and young of our society is very firm, appropriate and intact. In the same way, my defense and justice for the helpless and vulnerable is very much the same.	1
14	6950	From sleeping rough to a published author : This man's story will think twice about ignoring the homeless	1
15	2385	""""" Bruce has a fantastic job in training young people, especially the young people who come from the poorest of the poor families who would never have had an opportunity to even buy a cricket bat. """""	1
16	4491	""""""" Volleyball is our reputation in schools' sports. But as an underprivileged school we are not able to give all the facilities needed by the players. In addition, these boys come from poor families and unfortunately also the parents are not in a state to support them apart from their modest blessings. Our boys are very brave to win two or three titles in four to five tournaments annually, which is a great achievement from our point of view, """" Lakshan added."""	1
17	2872	"""Ms. Archibald """" had room in her heart for all and believed strongly that every person was to be appreciated and respected,"" said the family, noting she worked in a homeless home before moving abroad. """" She would have no understanding of the bare cruelty that had caused her death. """""""	1
18	9054	Although many of these students are selected for subordinate services, the service is able to increase their poor families.	1
19	5629	One child cuddled against her pregnant mother, among ten other homeless children with their families in Nuwara Eliya City, fighting to protect himself from freezing temperatures falling below eight degrees Celsius, was observed among the scenes on Thursday night.	1
20	853	"""Iain Duncan-Smith has made his feelings clear about benefits applicants: poor families are given prepaid cards loaded with payments to ensure that they spend the money on food instead of their """" self-destructive habits ""."""	1
21	2485	"""In addition, Chan reveals that ""care and sharing"" will be a main theme of the upcoming budget plan, that is, support of social groups in the need to achieve the goal of supporting disadvantaged people and help children to make society more harmonious."""	1
22	3920	5) Most Buddhist institutions and temples have no programs in common to support refugees, provide shelter to homeless children or provide rehabilitation services. In contrast, the well-established Christian churches and new evangelical groups at the village and city level are active to help affected persons, e.g. victims of political violence, cope with their grief. In addition, they also help people to cope with more worldly problems ( 22).	1
